Erecoil_keV,pdf,cdf
0.002828,17.9126025799714,0.991387043132699
0.002829,17.8795269175775,0.991404939197448
0.00283,17.8465069904425,0.991422802214402
0.002831,17.813542710164,0.991440632239252
0.002832,17.780633989369,0.991458429327602
0.002833,17.7477807393198,0.991476193534967
0.002834,17.7149828734983,0.991493924916773
0.002835,17.6822403028365,0.991511623528361
0.002836,17.6495529413687,0.991529289424983
0.002837,17.6169207008843,0.991546922661804
0.002838,17.5843434938996,0.991564523293902
0.002839,17.5518212348252,0.991582091376266
0.00284,17.5193538352575,0.991599626963801
0.002841,17.4869412092742,0.991617130111323
0.002842,17.4545832696156,0.991634600873563
0.002843,17.4222799303203,0.991652039305163
0.002844,17.3900311046792,0.99166944546068
0.002845,17.3578367061147,0.991686819394586
0.002846,17.3256966490466,0.991704161161263
0.002847,17.2936108471527,0.991721470815011
0.002848,17.2615792148171,0.991738748410042
0.002849,17.229601665975,0.991755994000483
0.00285,17.1976781152642,0.991773207640373
0.002851,17.1658084765911,0.991790389383669
0.002852,17.1339926651338,0.99180753928424
0.002853,17.1022305956242,0.991824657395871
0.002854,17.0705221829209,0.99184174377226
0.002855,17.0388673417266,0.991858798467022
0.002856,17.0072659874376,0.991875821533687
0.002857,16.9757180352926,0.991892813025698
0.002858,16.9442234003757,0.991909772996416
0.002859,16.9127819984602,0.991926701499115
0.00286,16.8813937454425,0.991943598586987
0.002861,16.8500585567847,0.991960464313138
0.002862,16.8187763477992,0.991977298730591
0.002863,16.7875470355935,0.991994101892282
0.002864,16.7563705357296,0.992010873851068
0.002865,16.7252467644516,0.992027614659718
0.002866,16.694175638129,0.992044324370919
0.002867,16.6631570735308,0.992061003037275
0.002868,16.6321909869995,0.992077650711305
0.002869,16.6012772958255,0.992094267445447
0.00287,16.5704159160537,0.992110853292053
0.002871,16.5396067652223,0.992127408303393
0.002872,16.5088497607164,0.992143932531656
0.002873,16.4781448192297,0.992160426028946
0.002874,16.4474918581253,0.992176888847285
0.002875,16.4168907954289,0.992193321038611
0.002876,16.3863415484775,0.992209722654783
0.002877,16.3558440352703,0.992226093747575
0.002878,16.3253981731242,0.99224243436868
0.002879,16.2950038802847,0.992258744569706
0.00288,16.2646610753841,0.992275024402184
0.002881,16.2343696755774,0.992291273917559
0.002882,16.2041296005383,0.992307493167197
0.002883,16.1739407676695,0.992323682202382
0.002884,16.1438030963526,0.992339841074314
0.002885,16.1137165050309,0.992355969834114
0.002886,16.0836809122716,0.992372068532823
0.002887,16.0536962372899,0.992388137221398
0.002888,16.02376239942,0.992404175950716
0.002889,15.9938793173323,0.992420184771574
0.00289,15.9640469106037,0.992436163734688
0.002891,15.9342650991889,0.992452112890693
0.002892,15.9045338021228,0.992468032290144
0.002893,15.8748529388242,0.992483921983514
0.002894,15.8452224301225,0.992499782021199
0.002895,15.8156421949015,0.992515612453511
0.002896,15.7861121537135,0.992531413330686
0.002897,15.7566322267138,0.992547184702876
0.002898,15.7272023344329,0.992562926620156
0.002899,15.6978223970089,0.992578639132522
0.0029,15.6684923347021,0.992594322289888
0.002901,15.6392120689077,0.99260997614209
0.002902,15.609981519616,0.992625600738884
0.002903,15.5808006082046,0.992641196129948
0.002904,15.5516692556615,0.99265676236488
0.002905,15.5225873828426,0.992672299493199
