EV	DT	TS	P	Type	E1	D3	PX3	PY3	PZ3	X3	Y3	Z3	time3	PX1	PY1	PZ1	X1	Y1	Z1	time1	nCap	
5216	1	1200001	900000	11	0.01862097108	0.01862097108	-0	0	0	-31.98104299	26.21155296	37.72648943	2.895149312	-0.005124478265	0.02531170372	0.1367859269	-31.98102728	26.21147538	37.72607019	2.895143897	0	
5216	1	1100001	900000	11	0.2818640085	0.2818640085	0	0	-0	-31.92268185	26.31849824	37.62411144	2.894913398	0.2252285857	0.4514134545	-0.336169152	-31.93719247	26.2894154	37.64576953	2.894743005	0	
5216	1	1000001	900000	11	0.06571520868	0.06571520868	0	0	0	-37.60377512	14.46671691	45.41738847	2.843931088	0.168958443	0.04006790957	0.2032901764	-37.60603684	14.46618055	45.41466717	2.843905336	0	
5216	1	800001	600000	22	0.51099891	0	-0.3345831049	-0.3855032656	0.02369101406	-49.1872	1.122481629	46.2347011	2.806925371	-0.3345831049	-0.3855032656	0.02369101406	-47.02607191	3.612511526	46.08167689	2.795915664	0	
5216	1	700001	600000	22	0.1155376146	0	-0.09928501572	-0.04990650055	-0.03163490554	-49.1872	2.606819189	45.39540949	2.803675594	-0.09928501572	-0.04990650055	-0.03163490554	-47.09882568	3.656559208	46.06082233	2.795569207	0	
6015	1	400037	100000	2112	1.113650865e-05	0	-0.006542940136	0.08679198644	0.1163723487	-6.431132575	-36.75474884	23.61123819	3348.411252	0.09702413903	0.06654181303	0.08417516973	-10.5426646	-39.57455016	20.044199	3215.601434	0	
6015	1	400038	100000	2112	1.123827212e-05	0	-0.07289423021	0.09681772807	0.08079896391	-6.46863668	-36.25725754	24.278284	3366.375629	-0.006542940136	0.08679198644	0.1163723487	-6.431132575	-36.75474884	23.61123819	3348.411252	0	
6015	1	400039	100000	2112	1.129017448e-05	0	0.1027423552	-0.09201635071	-0.03367983366	-25.10074238	-11.51019406	44.93087655	4167.454144	-0.07289423021	0.09681772807	0.08079896391	-6.46863668	-36.25725754	24.278284	3366.375629	0	
6015	1	400040	100000	2112	1.072694477e-05	0	0.03178932158	0.1327246127	-0.02905443697	1.623813684	-35.44478381	36.17033568	4982.659982	0.1027423552	-0.09201635071	-0.03367983366	-25.10074238	-11.51019406	44.93087655	4167.454144	0	
6015	1	400041	100000	2112	1.03614633e-05	0	-0.09380587473	0.09876546675	-0.02938958752	5.858827899	-17.76304058	32.2996663	5400.182508	0.03178932158	0.1327246127	-0.02905443697	1.623813684	-35.44478381	36.17033568	4982.659982	0	
